	freq	point_12.0	point_34.0
9	2.142970371753049	1254.3760778974188	1252.1373394501622
10	2.3323608379671588	1252.4405003321394	1250.1088333606588
11	2.538489169139922	1250.4245550078213	1247.9962867759357
12	2.762834616729843	1248.325063002536	1245.7963926749342
13	3.0070071648117374	1246.1387342080093	1243.5057300243357
14	3.272759083904761	1243.8621648360797	1241.120761398923
15	3.5619975058994324	1241.4918350180862	1238.6378307196378
16	3.8767981103258617	1239.024106517592	1236.053161132291
17	4.2194200201808085	1236.4552205800678	1233.3628530534047
18	4.5923220142114	1233.781295944008	1230.5628824105559
19	4.998180172000735	1230.9983270420132	1227.6490991090773
20	5.439907078482866	1228.1021824219213	1224.6172257586752
21	5.920672725705744	1225.0886034217172	1221.4628566971955
22	6.443927261840691	1221.9532031345257	1218.181457352055
23	7.013425750693554	1218.6914657036461	1214.7683639831343
24	7.633255119400739	1215.2987459908095	1211.2187838550042
25	8.30786348769653	1211.7702696648223	1207.5277958900658
26	9.042092089229124	1208.1011337613147	1203.6903518582603
27	9.841210014004316	1204.28630776851	1199.701278163357
28	10.710952021281132	1200.3206352985167	1195.5552782904363
29	11.657559694278474	1196.1988364070462	1191.2469359829915
30	12.687826232033776	1191.9155106305145	1186.7707192240782
31	13.809145199856347	1187.465140812284	1182.120985098875
32	15.029563588226171	1182.8420977963583	1177.2919856224773
33	16.357839560908072	1178.04064606975	1172.2778746198849
34	17.80350530670261	1173.0549504410071	1167.0727157509127
35	19.376935445880633	1167.879083845408	1161.6704917757675
36	21.089421482210657	1162.5070363732405	1156.0651151625286
37	22.953252834873904	1156.9327256198724	1150.2504401395765
38	24.981805031781292	1151.1500084615784	1144.2202763004982
39	27.1896356971995	1145.152694362942	1137.9684038702223
40	29.592589022527996	1138.9345603247161	1131.488590743037
41	32.20790946994713	1132.489367582127	1124.774611402881
42	35.05436552491589	1125.8108801642322	1117.8202678356927
43	38.15238438561187	1118.8928854241312	1110.6194125405816
44	41.52419855589366	1111.7292166472841	1103.1659737423668
45	45.194005393789716	1104.313777841195	1095.4539829011883
46	49.18814076049144	1096.6405708035354	1087.4776046062873
47	53.535268016018534	1088.7037245575254	1079.2311689293135
48	58.2665837178576	1080.4975272315494	1070.7092062974593
49	63.41604149874203	1072.0164604469423	1061.906484929599
50	69.02059573020114	1063.2552362596607	1052.8180508561416
51	75.12046672049624	1054.2088366810715	1043.439270518317
52	81.75942935009991	1044.8725557783673	1033.765875912921
53	88.98512721607088	1035.2420443256865	1023.794012213803
54	96.84941453973882	1025.3133569445895	1013.520287763833
55	105.40872829135161	1015.0830016338024	1002.9418262866571
56	114.72449320218637	1004.5479915462311	992.0563211202603
57	124.86356257063747	993.7058988241836	980.8620912220213
58	135.89869802566602	982.5549102516953	969.358138637899
59	147.909091690566	971.0938844276801	957.5442070688254
60	160.9809344942844	959.3224101032439	945.4208411032783
61	175.20803470870075	947.2408652642024	932.9894456201226
62	190.69249115071563	934.8504764742715	920.2523447987605
63	207.54542588028917	922.153377927844	907.2128401073495
64	225.88778165253396	909.1526695945805	893.875266575147
65	245.8511898466695	895.8524737728408	880.2450465940724
66	267.5789151004091	882.2579893069534	866.3287404391551
67	291.2268834288166	868.3755426666697	852.1340926501429
68	316.9648012057881	854.2126350375911	837.6700733792111
69	344.97737303837	839.7779845324018	822.9469137857737
70	375.4656272738253	825.0815626049133	807.9761345498249
71	408.6483586517641	810.13462373735	792.7705665846927
72	444.7636984543283	794.9497274756995	777.3443630584036
73	484.0708234224023	779.5407519132476	761.7130018844218
74	526.851815701647	763.9228977685231	745.8932779168811
75	573.4136871660008	748.1126822740233	729.90328418517
76	624.0905826459332	732.1279221866362	713.7623816273451
77	679.2461778725991	715.987705350439	697.491156931324
78	739.2762893464254	699.7123503872649	681.1113682657099
79	804.6117148594813	683.3233542589342	664.6458788763495
80	875.7213250562445	666.8433276354859	648.1185787368954
81	953.1154282189331	650.2959182127622	631.5542946677087
82	1037.3494324243104	633.7057223467409	614.9786895721247
83	1129.0278313529263	617.0981856055108	598.4181516764334
84	1228.8085423544117	600.4994930775904	581.8996748933965
85	1337.4076279003325	583.9364505102521	565.4507316513202
86	1455.6044343074802	567.4363575769763	549.0991397345925
87	1584.247184608924	551.0268747815353	532.8729248594428
88	1724.2590657092812	534.7358856904754	516.8001808540897
89	1876.6448535078532	518.5913563382743	500.9089294182785
90	2042.498123533894	502.62119376441336	485.22698149875674
91	2223.0090988401366	486.853105712759	469.7818023295168
92	2419.4731914739195	471.3144635467749	454.60038214610177
93	2633.300298822556	456.03217040570365	439.70911448979206
94	2866.0249215469366	441.03253654532546	425.1336838703779
95	3119.317175713288	426.34116367141246	410.89896435604084
96	3394.9947781501082	411.98283988599553	397.0289304086846
97	3695.036091041584	397.9814466278291	383.5465809853705
98	4021.5943193701714	384.3598787026527	370.4738775861297
99	4377.01296309433	371.13997816982925	357.8316965490088
100	4763.8426349518595	358.342482484207	345.6397954791287
101	5184.859364579403	345.9869868899914	333.9167932534008
102	5643.084520305184	334.0919206310838	322.680162568833
103	6141.806491580944	322.67453608292084	311.9462335016124
104	6684.604287653977	311.7509094262395	301.7302060161064
105	7275.373221831998	301.3359509742528	292.04616880606727
106	7918.3528656603185	291.4434227302984	282.90712126154926
107	8618.157473620638	282.08596019113287	274.3249947306265
108	9379.809096690173	273.2750948182756	266.31066858113064
109	10208.773622395802	265.02127297283414	258.8739758621749
110	11110.99999999999	257.33386644586716	252.02369262002355
